Lambda,Optimal_MP,Min_Risk,Risk_at_17J,Risk_at_10J,Risk_at_25J
0.005,9.5,55.57408928871155,71.87078297138214,83.15441459417343,78.22638005018234
0.01,9.5,62.88779079914093,74.26768839359283,81.69789612293243,78.4258633852005
0.02,9.5,66.99291169643402,75.21084994077682,78.26333194971085,78.00100296735764
0.05,9.5,71.74246609210968,76.38713121414185,76.44445449113846,78.89499813318253
0.1,9.5,74.73000884056091,77.44060307741165,76.84736102819443,80.56474328041077
