MP,HMM_Mean,HMM_Low,HMM_High,HMM_NS_Mean,HMM_NS_Low,HMM_NS_High,SGF_S_Mean,SGF_S_Low,SGF_S_High,Trad_Mean,Trad_Low,Trad_High,Cox_Mean,Cox_Low,Cox_High
5.0,72.39856804907322,53.94554503262043,85.88016014546155,69.06672383844852,27.051911503076553,84.23900604248047,79.94891734421253,60.69276235997677,90.41373061016202,73.01214901357889,42.49485060572624,91.12140649929643,80.3778297700629,72.72978491752129,86.32367633495468
5.5,73.40939736366272,56.62727788090706,85.64484238624571,69.95447646081448,28.221589773893356,83.65520942956209,80.01090919971466,60.824545845389366,90.42292159050703,73.07254213094711,42.62017950415611,91.15406285971403,80.92933271113927,73.44773329250181,86.63364137133877
6.0,74.32216550409794,58.93753871321678,85.76606791466473,70.76193888485432,29.355990141630173,83.50787237286568,80.06733421236277,60.944854989647865,90.43126428499818,73.12759686261415,42.73443415760994,91.18371065706015,81.42733100755405,74.0990028376062,86.93916586996919
6.5,78.6392190605402,61.549756303429604,91.1845974624157,79.77099421620369,41.64556875824928,93.69483545422554,84.63806606084108,68.8680187612772,94.98394336551428,86.78547323308885,48.28798472881317,96.74781850539148,81.88064020202123,74.7160439082898,87.2803234057449
7.0,75.1376159414649,55.74811153113842,89.52839622274041,68.1427162475884,27.948002517223358,92.106197103858,80.76500564068556,61.697798669338226,93.12973519787192,73.36740957573056,33.54585736989975,95.78831722959876,82.29609320106863,75.36876141605046,87.59200567452316
7.5,68.9547698199749,49.18606385588646,84.35712724924088,64.808932043612,28.992508947849274,87.40792248398066,74.11487799882889,53.439161479473114,90.03463560715318,68.9367509521544,33.15884664654732,94.28278763778508,82.67909057976377,75.97201719042683,87.87852297278855
8.0,69.64222317188978,50.24434618651867,84.80051781982183,65.36033996194601,29.96699556708336,87.74568803608418,74.159030854702,53.50000903010368,90.09271735325456,68.97119416669011,33.25352728366852,94.3214621860534,83.03397270731,76.53225766179496,88.1433238444024
8.5,62.07212162017822,44.908565282821655,76.58364411443469,49.4235485047102,32.88841858506203,79.01004943996666,66.0604168921709,49.468811973929405,80.61171442270276,51.36279973387718,35.437581688165665,80.31531877815723,83.36427865465761,77.05476202515695,88.38920850966161
9.0,62.71123030781746,45.78438267111778,76.73073854297397,49.95784752070904,33.42627227306366,79.59978871047495,66.1039619743824,49.498673751950264,80.63689146190879,51.40145301818848,35.43390393257141,80.34624930471182,83.67293080722791,77.54390711262953,88.61848035398523
9.5,61.420653477311134,49.301041066646576,72.99057573080061,39.60194551944733,30.91764271259308,54.823362827301004,64.42011289298534,51.81943126022816,76.21777374297378,41.66829192638397,33.21796104311943,56.81797742843626,83.96236934778427,78.00336122217685,88.8330558118122
10.0,72.61268632113934,60.348787382245064,82.75341577827929,81.12695920467377,65.64184039831161,89.646618347615,75.46703348308802,64.74396914243698,87.53735318779945,85.04205027222633,69.15789857506752,94.06106258742511,84.23465208147954,78.43622860525882,89.03454560789844
10.5,73.13114845752716,61.4436250180006,82.84819189459085,81.53385069966316,66.23597763478756,89.54775538295507,75.50136148929596,64.78485703468323,87.57401617243886,85.06691497564316,69.20545816421509,94.05931883491576,84.49152978029855,78.84515895388986,89.22431584680955
11.0,69.94229339063168,60.36424532532692,77.44973871856928,70.16418558359146,55.46668156981468,82.56116949021816,72.58919605612755,64.55515325069427,79.7290427237749,71.98918420821428,57.41124853491783,85.28735570609568,84.73450390287579,79.2324315887524,89.40353464816376
11.5,70.42792502045631,61.13140895962715,77.84065786749125,70.59900738298893,56.00131884217262,83.036570250988,72.6221163123846,64.6245563775301,79.76876586675642,72.01848432421684,57.43906155228615,85.29790155589579,84.96487140741709,79.60002105085762,89.57320823379209
12.0,70.892387971282,61.823966056108475,78.3275268599391,71.0076683908701,56.50474913418293,83.82966503500938,72.65360890328884,64.69099752604961,79.80675797909497,72.04651056230068,57.46569439768791,85.30797369778155,85.18375996647202,79.94964881513799,89.73420919685329
12.5,67.02323831617832,55.80709308385849,76.41481384634972,64.76529496908188,47.608739882707596,81.33949156850576,69.03389389812946,58.20492163300514,78.31690594553946,66.75315454602242,46.01672813296318,84.4873485714197,85.392155944293,80.28282450439131,89.88729889432433
13.0,67.45952565968037,56.593481600284576,76.84331096708775,65.1594167649746,47.930405884981155,81.73071965575218,69.06366105377674,58.2570081949234,78.35819613188504,66.77946577966213,46.00772053003311,84.53201092779635,85.5909268475357,80.60018846902152,90.03474245598223
13.5,66.01185615360737,58.73277425765991,73.8422704488039,48.00088956952095,36.2072679400444,61.88200615346431,67.07382065057755,60.61484552919865,74.71375197172165,48.135581493377686,35.83431050181389,64.39014405012131,85.78083950672143,80.90060088479893,90.17563236275588
14.0,66.42120070755482,59.189483001828194,74.10052679479122,48.35840845108032,36.722601652145386,62.05450005829334,67.10215254127979,60.6176682561636,74.73000325262547,48.159880846738815,35.87491050362587,64.40713182091713,85.96257492473244,81.18829971988806,90.31030242404128
14.5,66.81517325341702,59.62643399834633,74.5935520529747,48.70637419819832,37.113266587257385,62.17609725892544,67.12948152422905,60.62039062380791,74.7456718236208,48.18334400653839,35.91412216424942,64.42352540791035,86.13674049782826,81.4434173644344,90.42382847638135
15.0,80.12320851534605,72.97336354851723,86.62470012903214,81.09075489640236,73.97191673517227,87.74565605446696,79.57739455997944,72.45664238929749,86.12730331718922,80.47063906490803,73.58983613550663,87.12222822010517,86.30388014663616,81.65560724928066,90.51629388091604
