n_samples,true_value,mean_estimate,bias,rmse,std,time_minutes
5000,0.25,0.4046427893638611,0.1546427893638611,0.17984580749920095,0.0918156967669698,11.502535700798035
10000,0.25,0.4076214945316315,0.1576214945316315,0.16861760676981483,0.05989458885738159,14.021854853630066
20000,0.25,0.4040264952927828,0.15402649529278278,0.16075265941504924,0.04601365293946112,20.21499120394389
50000,0.25,0.40728429451584813,0.15728429451584813,0.1593439609253607,0.025537199964655782,22.708513085047404
100000,0.25,0.4081148432195187,0.15811484321951869,0.15983891933762395,0.02341316912949824,26.513792073726655
