sim_id,Full_Model_LL,Full_Model_AIC,Full_Model_BIC,Full_Model_nparams,Full_Model_beta_GS,No_Interaction_LL,No_Interaction_AIC,No_Interaction_BIC,No_Interaction_nparams,No_PackYears_LL,No_PackYears_AIC,No_PackYears_BIC,No_PackYears_nparams,No_PackYears_beta_GS,LRT_No_Interaction_chi2,LRT_No_Interaction_pvalue,LRT_No_PackYears_chi2,LRT_No_PackYears_pvalue
15,-11050.5478515625,22155.095703125,22368.489867043474,27,0.4172419309616089,-11031.6865234375,22111.373046875,22301.056748135867,24,-11052.1142578125,22154.228515625,22351.815704438402,25,0.4438578188419342,0.0,1.0,3.1328125,0.20879418979773945
16,-10779.1259765625,21612.251953125,21825.646117043474,27,0.4645633399486542,-10794.7138671875,21637.427734375,21827.111435635867,24,-10811.9794921875,21673.958984375,21871.546173188402,25,0.4833119809627533,31.17578125,7.806001522947525e-07,65.70703125,5.440092820663267e-15
17,-10967.546875,21989.09375,22202.487913918474,27,0.4490359425544739,-10968.6943359375,21985.388671875,22175.072373135867,24,-11011.9150390625,22073.830078125,22271.417266938402,25,0.484605610370636,2.294921875,0.5134944389294362,88.736328125,0.0
18,-11106.763671875,22267.52734375,22480.921507668474,27,0.40367981791496277,-11120.7392578125,22289.478515625,22479.162216885867,24,-11175.3720703125,22400.744140625,22598.331329438402,25,0.4583316445350647,27.951171875,3.7187643753266997e-06,137.216796875,0.0
19,-10949.46875,21952.9375,22166.331663918474,27,0.42963656783103943,-10975.7451171875,21999.490234375,22189.173935635867,24,-11016.921875,22083.84375,22281.430938813402,25,0.46577882766723633,52.552734375,2.2834734103582832e-11,134.90625,0.0
20,-11127.6025390625,22309.205078125,22522.599242043474,27,0.463703453540802,-11153.1806640625,22354.361328125,22544.045029385867,24,-11204.1015625,22458.203125,22655.790313813402,25,0.49911272525787354,51.15625,4.5311088214816664e-11,152.998046875,0.0
21,-10982.75,22019.5,22232.894163918474,27,0.4862618148326874,-11002.3671875,22052.734375,22242.418076260867,24,-11020.30078125,22090.6015625,22288.188751313402,25,0.5189266800880432,39.234375,1.548143535590185e-08,75.1015625,0.0
22,-11158.0869140625,22370.173828125,22583.567992043474,27,0.4930330216884613,-11163.8779296875,22375.755859375,22565.439560635867,24,-11201.06640625,22452.1328125,22649.720001313402,25,0.5181272625923157,11.58203125,0.008961110832758523,85.958984375,0.0
23,-11121.4267578125,22296.853515625,22510.247679543474,27,0.46825891733169556,-11146.638671875,22341.27734375,22530.961045010867,24,-11159.9736328125,22369.947265625,22567.534454438402,25,0.4997691214084625,50.423828125,6.489819792676599e-11,77.09375,0.0
24,-11166.0146484375,22386.029296875,22599.423460793474,27,0.4075005054473877,-11159.7666015625,22367.533203125,22557.216904385867,24,-11216.8486328125,22483.697265625,22681.284454438402,25,0.4173901081085205,0.0,1.0,101.66796875,0.0
25,-10825.912109375,21705.82421875,21919.218382668474,27,0.5018605589866638,-10847.59765625,21743.1953125,21932.879013760867,24,-10867.13671875,21784.2734375,21981.860626313402,25,0.515012800693512,43.37109375,2.0526503829998433e-09,82.44921875,0.0
26,-10684.0576171875,21422.115234375,21635.509398293474,27,0.43664902448654175,-10689.005859375,21426.01171875,21615.695420010867,24,-10733.1240234375,21516.248046875,21713.835235688402,25,0.46538811922073364,9.896484375,0.019466864255304417,98.1328125,0.0
27,-10674.576171875,21403.15234375,21616.546507668474,27,0.4801701605319977,-10688.80859375,21425.6171875,21615.300888760867,24,-10742.3056640625,21534.611328125,21732.198516938402,25,0.5069760084152222,28.46484375,2.9010569261300745e-06,135.458984375,0.0
28,-10723.4658203125,21500.931640625,21714.325804543474,27,0.5244782567024231,-10725.3330078125,21498.666015625,21688.349716885867,24,-10789.75,21629.5,21827.087188813402,25,0.5662586092948914,3.734375,0.291612249794459,132.568359375,0.0
29,-11078.814453125,22211.62890625,22425.023070168474,27,0.5126879215240479,-11104.435546875,22256.87109375,22446.554795010867,24,-11156.275390625,22362.55078125,22560.137970063402,25,0.5374625325202942,51.2421875,4.344047344062574e-11,154.921875,0.0
30,-11068.51953125,22191.0390625,22404.433226418474,27,0.5357533693313599,-11097.259765625,22242.51953125,22432.203232510867,24,-11112.9150390625,22275.830078125,22473.417266938402,25,0.5666671395301819,57.48046875,2.029265644409861e-12,88.791015625,0.0
