Metric,Mean,CI_Lower,CI_Upper
Risk (Never Smoke),0.05501520896330476,0.054512469377368686,0.05555981220677495
Risk (Always Smoke),0.3247050741314888,0.3212917558848858,0.3280450142920017
Risk Difference,0.26968986516818405,0.2666912785731256,0.2724537660367787
Risk Ratio,5.902091326462137,5.879876312956972,5.923167520576627
