sample_size,parameter,estimate
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,gamma_G,0.10000000149011612
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04422393813729286
5000,sigma_Z,0.04423806071281433
5000,sigma_Z,0.04408023878931999
5000,sigma_Z,0.044120486825704575
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04408003017306328
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.0440557487308979
5000,sigma_Z,0.04422079771757126
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04408058524131775
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044065169990062714
5000,sigma_Z,0.0440620519220829
5000,sigma_Z,0.04403961822390556
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04399307444691658
5000,sigma_Z,0.04406333342194557
5000,sigma_Z,0.04414665699005127
5000,sigma_Z,0.043875306844711304
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044059887528419495
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04419799894094467
5000,sigma_Z,0.044053301215171814
5000,sigma_Z,0.04406792297959328
5000,sigma_Z,0.04404015466570854
5000,sigma_Z,0.04418838769197464
5000,sigma_Z,0.04408615827560425
5000,sigma_Z,0.0441180057823658
5000,sigma_Z,0.044069804251194
5000,sigma_Z,0.044183723628520966
5000,sigma_Z,0.044175222516059875
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04413275420665741
5000,sigma_Z,0.04420773684978485
5000,sigma_Z,0.04403292015194893
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04409752041101456
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04417701065540314
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044072072952985764
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04404537379741669
5000,sigma_Z,0.04423219710588455
5000,sigma_Z,0.04408636689186096
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04411213845014572
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04420516639947891
5000,sigma_Z,0.04419581592082977
5000,sigma_Z,0.04412190988659859
5000,sigma_Z,0.04422076418995857
5000,sigma_Z,0.0442066490650177
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04420499503612518
5000,sigma_Z,0.04417169466614723
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04418381676077843
5000,sigma_Z,0.04414873197674751
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04419742897152901
5000,sigma_Z,0.04411095008254051
5000,sigma_Z,0.04410791024565697
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044200021773576736
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04419006407260895
5000,sigma_Z,0.04406898468732834
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04414692148566246
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044162817299366
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.0442311093211174
5000,sigma_Z,0.043982576578855515
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04408887028694153
5000,sigma_Z,0.04407069832086563
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04423106834292412
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.0442228727042675
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044190652668476105
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04404420778155327
5000,sigma_Z,0.04411444067955017
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04420715570449829
5000,sigma_Z,0.04393067955970764
5000,sigma_Z,0.043893974274396896
5000,sigma_Z,0.04408422112464905
5000,sigma_Z,0.04406268149614334
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04402290657162666
5000,sigma_Z,0.04409775137901306
5000,sigma_Z,0.044100623577833176
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04417694732546806
5000,sigma_Z,0.04422513023018837
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04413367062807083
5000,sigma_Z,0.044193118810653687
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04405171424150467
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04417450726032257
5000,sigma_Z,0.04406246170401573
5000,sigma_Z,0.044141437858343124
