quit_year,group,rr_mean,rr_lower,rr_upper,rr_std
0,All,1.0000024401459067,0.9999712469511929,1.0000367284977345,1.771372469229961e-05
1,All,1.0195949328523382,1.0194352942745266,1.0198089904190297,9.587965241382368e-05
2,All,1.0427518237105227,1.042334881825913,1.0431782213077025,0.0002347203852778801
3,All,1.064840022033482,1.0643933432006565,1.0655649439521075,0.0003200713971934817
4,All,1.0844059245781406,1.0834047359959067,1.0852554837393773,0.0004737086665369966
5,All,1.1014638663859884,1.100489587194089,1.1023965206288997,0.0005996027058067989
6,All,1.1156687961236762,1.1144986650222077,1.1168147414836125,0.000636283202908358
7,All,1.1270668918939009,1.1256023470515835,1.128660764650871,0.0007638854334295535
8,All,1.136200636067848,1.1346546433391296,1.1374945660914324,0.0008182839612899464
9,All,1.142931711626686,1.1412211923641278,1.1443209493128592,0.0008662504417483996
0,High_PRS,1.0000004270691754,0.9999150021578183,1.0000765784007235,4.6538790782797345e-05
1,High_PRS,1.0285978544930805,1.0283904500135188,1.0289426340864691,0.00015443543845028207
2,High_PRS,1.0641245308752445,1.0636591574693057,1.0647373881833155,0.00031850585724506385
3,High_PRS,1.099376730909702,1.0985398465149585,1.1003951883974634,0.00047771427197931094
4,High_PRS,1.1319463327765984,1.1306155276677654,1.1333568539828967,0.0007476871607231908
5,High_PRS,1.1614974922998678,1.1599274441565357,1.162888757315044,0.0008755205653938944
6,High_PRS,1.1872839301547689,1.1848505561072549,1.1893255274424335,0.0011456100577261694
7,High_PRS,1.209908348650799,1.2078663057651446,1.2121062448680817,0.0012685459241569778
8,High_PRS,1.2290172748685337,1.2260190340019637,1.2320383624525184,0.0015132060852428289
9,High_PRS,1.2453945668746567,1.2428124217482528,1.2492052301688463,0.0017640398816509658
0,Low_PRS,0.9999985317665346,0.9999611021127648,1.0000516363094891,2.7784346612476344e-05
1,Low_PRS,1.014831070248683,1.0147204679147979,1.01491368583247,5.00364447988106e-05
2,Low_PRS,1.0314251186811334,1.0312276768026647,1.0315819614486479,9.690283473659929e-05
3,Low_PRS,1.0464885237659436,1.046227370615106,1.0467225184281077,0.00013877865774599528
4,Low_PRS,1.0591792582685968,1.0588776634369816,1.059550698683149,0.00018338641157762786
5,Low_PRS,1.0695139740385846,1.0691931189578934,1.0698795662979146,0.00019388108308602238
6,Low_PRS,1.077514004747486,1.077183019006287,1.078039517424192,0.0002210639666030538
7,Low_PRS,1.083311549836708,1.0828665879880623,1.0838957423407294,0.00026838215818613466
8,Low_PRS,1.0869932987354824,1.0864099574328607,1.0876761838917877,0.00031044728266039595
9,Low_PRS,1.088712155663947,1.0881530376172248,1.0894439260594002,0.00036395692298836474
