n_samples,true_value,mean_estimate,bias,rmse,std,time_minutes
5000,0.25,0.48977516770362856,0.23977516770362856,0.2529349154917441,0.08052291864750387,23.26972642739614
10000,0.25,0.47396625459194186,0.22396625459194186,0.23102447837663945,0.056669448676123946,32.372457432746884
20000,0.25,0.4752156738936901,0.22521567389369013,0.22877116899731825,0.04017646073275464,49.88492143551509
50000,0.25,0.47711432293057443,0.22711432293057443,0.2283462945967192,0.02368785713901592,54.513922774791716
100000,0.25,0.4776313941180706,0.2276313941180706,0.228373157396468,0.018391504318449835,63.488723107179005
