Metric,Mean,CI_Lower,CI_Upper
Risk (Never Smoke),0.13640945233404636,0.13475685752928257,0.13824343606829642
Risk (Always Smoke),0.53413320094347,0.5294713273644447,0.5390266820788383
Risk Difference,0.3977237486094236,0.394164202362299,0.4009536154568195
Risk Ratio,3.915742677689668,3.885253029545114,3.9434353992270936
