n_samples,true_value,mean_estimate,bias,rmse,std,time_minutes
5000,0.35,0.6541056108474731,0.3041056108474731,0.3064803651460744,0.03807875616608693,14.27818698088328
10000,0.35,0.6544669634103775,0.3044669634103775,0.3060725096288715,0.03130893390359196,18.69932080109914
20000,0.35,0.649778557419777,0.299778557419777,0.30088438546600416,0.02577265854684897,22.154185394446056
50000,0.35,0.6022982469201088,0.2522982469201088,0.25301117515079363,0.018980235831658775,24.056600745519003
100000,0.35,0.6037578570842743,0.25375785708427434,0.2543777039273132,0.01774728777387712,29.5909925142924
